"id","createdOn","modifiedOn","willowId","fieldHeadingId","fieldConfigurationId","description","name","defaultValue","mandatory","fieldOrder","property"
"1","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your street address","Street","NULL","0","2","street"
"2","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your residential suburb","Suburb","NULL","0","3","suburb"
"3","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your residential country","Country","NULL","0","4","country"
"4","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your residential postcode","Postcode","NULL","0","5","postcode"
"5","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your residential state","State","NULL","0","6","state"
"6","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your home phone number","Home phone number","NULL","0","7","homePhoneNumber"
"7","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your work phone number","Business phone number","NULL","0","8","businessPhoneNumber"
"8","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your fax number ","Fax number","NULL","0","9","faxNumber"
"9","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter a 10 digit mobile phone number","Mobile phone","NULL","0","10","mobilePhoneNumber"
"10","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your date of birth in the format dd/mm/yyyy","Date of birth","NULL","0","11","dateOfBirth"
"11","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Enter your gender","Gender","NULL","0","12","isMale"
"12","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","103","101","Special dietary requirements, allergies, accessibility or medical considerations","Special dietary requirements, allergies, accessibility or medical considerations","NULL","0","13","specialNeeds"
"13","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","104","101","E-mail","E-mail","NULL","0","15","isMarketingViaEmailAllowed"
"14","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","104","101","Post","Post","NULL","0","16","isMarketingViaPostAllowed"
"15","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","104","101","SMS","SMS","NULL","0","17","isMarketingViaSMSAllowed"
"16","2017-04-09T12:00:00","2017-04-09T12:00:00","NULL","105","102","Enter your street address","Street","NULL","1","2","street"
