"createdOn","id","isVocabulary","modifiedOn","name","nodeType","parentId","shortName","contents","willowId","isWebVisible","weight","specialType","colour"
"2017-01-12T12:00:00","187","0","2017-01-12T12:00:00","Observation checklist","1","199","NULL","NULL","NULL","0","1","NULL","43ded3"
"2017-01-12T12:00:00","188","0","2017-01-12T12:00:00","Short answer","1","199","NULL","NULL","NULL","0","2","NULL","8dd4f7"
"2017-01-12T12:00:00","189","0","2017-01-12T12:00:00","Multiple choice quiz","1","199","NULL","NULL","NULL","0","3","NULL","a7ceeb"
"2017-01-12T12:00:00","190","0","2017-01-12T12:00:00","Portfolio","1","199","NULL","NULL","NULL","0","4","NULL","fab4d1"
"2017-01-12T12:00:00","191","0","2017-01-12T12:00:00","Workplace project","1","199","NULL","NULL","NULL","0","5","NULL","dabcf7"
"2017-01-12T12:00:00","192","0","2017-01-12T12:00:00","Simulation","1","199","NULL","NULL","NULL","0","6","NULL","c2c2fc"
"2017-01-12T12:00:00","193","0","2017-01-12T12:00:00","Case study","1","199","NULL","NULL","NULL","0","7","NULL","46e385"
"2017-01-12T12:00:00","194","0","2017-01-12T12:00:00","Third party report","1","199","NULL","NULL","NULL","0","8","NULL","84b1fa"
"2017-01-12T12:00:00","195","0","2017-01-12T12:00:00","Journal","1","199","NULL","NULL","NULL","0","9","NULL","e89c3f"
"2017-01-12T12:00:00","196","0","2017-01-12T12:00:00","Log book","1","199","NULL","NULL","NULL","0","10","NULL","dde3ed"
"2017-01-12T12:00:00","197","0","2017-01-12T12:00:00","Class presentation","1","199","NULL","NULL","NULL","0","11","NULL","b5a6e3"
"2017-01-12T12:00:00","198","0","2017-01-12T12:00:00","Class based activity","1","199","NULL","NULL","NULL","0","12","NULL","fa8e8e"
"2017-01-12T12:00:00","199","1","2017-01-12T12:00:00","Assessment method","1","NULL","NULL","NULL","NULL","0","1","5","fab6b6"
"2012-06-20T10:27:50","200","1","2012-06-20T10:27:50","Home page","2","NULL","Home","h3. Home page 

This is the home page for your college web site. ish onCourse is able to synchronise not only your course and enrolment information with your web site, but also any other pages you wish to create. This content management system is managed completely from within ish onCourse.","NULL","1","1","2","cec2f0"
"2012-06-20T10:27:50","201","1","2012-06-20T10:27:50","Subjects","1","NULL","NULL","NULL","NULL","1","1","1","ebeff5"
"2012-06-20T10:27:50","202","1","2012-06-20T10:27:50","Mailing Lists","1","NULL","NULL","NULL","NULL","1","1","NULL","f5bc76"
"2012-06-20T10:27:51","206","1","2012-06-20T10:27:51","Payroll wage intervals","1","NULL","NULL","NULL","NULL","0","1","4","accbfc"
"2022-08-17T13:00:00","207","1","2022-08-17T13:00:00","Terms","1","NULL","NULL","NULL","NULL","1","1","6","ebeff5"
